slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
walljo01,John Wall,HOUSTON ROCKETS,HOME,DALLAS MAVERICKS,WIN,2043,12,23,4,10,3,6,1,2,7,4,1,1,0,28.4,22.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,INDIANA PACERS,LOSS,2078,12,17,2,6,6,8,3,9,6,0,1,4,4,28.2,9.0
westbru01,Russell Westbrook,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,2262,8,11,3,3,4,4,1,13,15,0,1,5,3,28.1,13.0
allengr01,Grayson Allen,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,WIN,1829,10,18,3,9,7,8,1,3,3,0,0,0,2,23.9,20.0
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2453,16,35,4,12,5,7,0,8,3,0,0,1,5,23.6,-11.0
brownja02,Jaylen Brown,BOSTON CELTICS,HOME,NEW YORK KNICKS,WIN,2161,12,26,5,13,3,7,2,8,3,2,1,2,1,23.2,7.0
mccontj01,T.J. McConnell,INDIANA PACERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2104,9,12,1,1,0,0,1,2,15,2,0,4,2,23.2,12.0
barrerj01,RJ Barrett,NEW YORK KNICKS,AWAY,BOSTON CELTICS,LOSS,2133,10,14,6,6,3,4,1,4,2,0,0,3,3,21.9,-9.0
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2204,7,7,0,0,2,2,4,14,2,3,0,3,2,21.5,-7.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,SAN ANTONIO SPURS,WIN,1827,11,18,0,2,3,4,1,8,10,1,0,6,0,21.5,5.0
valanjo01,Jonas Valančiūnas,MEMPHIS GRIZZLIES,AWAY,ATLANTA HAWKS,WIN,1589,9,13,1,2,0,0,4,7,4,0,1,0,2,21.1,17.0
bealbr01,Bradley Beal,WASHINGTON WIZARDS,AWAY,ORLANDO MAGIC,WIN,1822,11,19,4,6,0,0,1,0,5,1,1,2,0,21.0,18.0
