slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
davisan02,Anthony Davis,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1929,12,21,2,6,13,15,0,9,2,2,3,3,2,32.7,6.0
townska01,Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2221,11,16,5,9,3,4,1,4,8,2,2,0,5,31.7,-4.0
teaguje01,Jeff Teague,MINNESOTA TIMBERWOLVES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2421,12,17,4,5,4,4,1,4,9,2,0,4,2,30.3,0.0
butleji01,Jimmy Butler,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2187,9,16,2,5,8,11,3,8,11,1,2,3,2,30.0,13.0
jokicni01,Nikola Jokić,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,1840,13,21,1,5,3,3,4,6,4,1,2,1,3,28.1,0.0
drumman01,Andre Drummond,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,2451,9,17,0,1,7,9,7,15,1,3,2,1,5,27.4,17.0
paulch01,Chris Paul,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,2241,11,20,1,3,7,7,1,3,7,0,2,0,4,26.7,19.0
jamesle01,LeBron James,LOS ANGELES LAKERS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2025,11,23,4,9,5,7,1,6,8,0,1,3,1,23.9,21.0
gilgesh01,Shai Gilgeous-Alexander,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,2492,8,13,1,1,12,12,1,4,2,1,0,3,2,23.6,9.0
adamsst01,Steven Adams,OKLAHOMA CITY THUNDER,HOME,MINNESOTA TIMBERWOLVES,WIN,2184,9,13,0,1,4,8,6,5,2,2,4,2,4,23.2,5.0
lillada01,Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,LOS ANGELES LAKERS,LOSS,2444,9,18,2,8,9,11,0,7,8,0,0,4,0,22.9,-10.0
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,WASHINGTON WIZARDS,WIN,2193,10,16,0,0,4,7,3,11,4,0,2,2,2,22.4,20.0
grahade01,Devonte' Graham,CHARLOTTE HORNETS,HOME,BROOKLYN NETS,LOSS,2016,8,19,6,11,7,8,1,2,8,1,0,4,1,22.0,6.0
holmeri01,Richaun Holmes,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,2681,6,9,0,0,1,2,6,8,5,3,2,0,3,22.0,-6.0
tatumja01,Jayson Tatum,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,1793,10,19,4,8,2,2,0,7,5,1,0,1,1,21.9,14.0
jordade01,DeAndre Jordan,BROOKLYN NETS,AWAY,CHARLOTTE HORNETS,WIN,1553,6,7,0,0,4,4,5,8,3,0,2,1,2,21.1,1.0
