slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
georgpa01,Paul George,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2428,12,18,5,7,3,3,0,4,4,2,0,3,3,26.0,6.0
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2318,13,24,3,8,3,4,1,11,8,1,0,7,4,22.0,-8.0
brownja02,Jaylen Brown,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2230,10,18,3,7,4,4,0,6,0,3,0,1,2,21.4,19.0
walkeke02,Kemba Walker,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2157,8,15,1,6,4,5,0,4,7,0,1,2,0,18.1,23.0
leonaka01,Kawhi Leonard,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2535,9,19,1,6,4,6,0,14,6,0,2,4,2,17.5,10.0
portemi01,Michael Porter Jr.,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1387,8,17,2,6,0,0,4,6,1,3,0,1,3,15.4,6.0
theisda01,Daniel Theis,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1829,5,5,0,0,5,6,0,8,1,0,2,1,3,15.4,22.0
vanvlfr01,Fred VanVleet,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2061,6,14,2,7,4,4,0,2,5,3,0,2,3,14.5,-14.0
tatumja01,Jayson Tatum,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2177,5,15,1,5,7,8,3,7,4,1,1,2,4,14.2,12.0
harriga01,Gary Harris,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2128,3,6,2,4,2,2,1,0,6,4,0,1,3,13.7,-14.0
wanambr01,Brad Wanamaker,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1694,5,9,3,5,2,2,0,3,2,1,0,0,2,13.2,13.0
morrima03,Marcus Morris,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,2089,6,8,0,2,0,0,0,4,3,0,0,1,1,10.7,18.0
murraja01,Jamal Murray,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,2300,5,17,2,7,2,2,1,3,9,2,0,2,4,10.4,-6.0
smartma01,Marcus Smart,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2074,4,8,2,5,2,2,0,7,6,0,1,3,4,10.4,25.0
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1293,2,3,0,0,7,10,1,2,0,2,0,1,3,9.6,-5.0
morrimo01,Monte Morris,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1104,4,5,1,1,0,0,0,1,4,0,0,1,0,9.2,7.0
thomama02,Matt Thomas,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,1110,4,6,2,4,0,0,0,4,2,0,0,1,2,8.2,5.0
millspa01,Paul Millsap,DENVER NUGGETS,HOME,LOS ANGELES CLIPPERS,LOSS,1701,5,7,0,0,1,2,0,2,2,0,0,0,4,8.1,-6.0
beverpa01,Patrick Beverley,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1236,3,6,1,4,0,0,1,3,3,1,1,1,2,7.6,-13.0
willilo02,Lou Williams,LOS ANGELES CLIPPERS,AWAY,DENVER NUGGETS,WIN,1662,4,11,2,5,0,0,1,4,3,2,0,2,1,7.5,20.0
