slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus
duranke01,Kevin Durant,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,2589,13,25,3,7,4,6,1,7,7,1,0,3,1,25.2,10.0
georgpa01,Paul George,INDIANA PACERS,HOME,ATLANTA HAWKS,LOSS,2437,6,18,3,8,9,12,4,6,5,4,2,2,3,22.9,-1.0
johnsjo02,Joe Johnson,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,2670,8,13,0,1,8,8,0,8,4,2,0,2,2,22.5,15.0
redicjj01,JJ Redick,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,1804,8,11,4,5,2,2,1,1,2,1,0,0,1,20.5,2.0
teaguje01,Jeff Teague,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,2126,9,19,1,3,9,10,0,3,5,1,0,2,2,20.5,8.0
paulch01,Chris Paul,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,2174,10,23,5,9,3,6,1,6,8,4,0,6,5,18.8,9.0
ibakase01,Serge Ibaka,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,2053,6,8,0,0,5,5,2,7,1,0,4,1,3,18.6,9.0
millspa01,Paul Millsap,ATLANTA HAWKS,AWAY,INDIANA PACERS,WIN,2182,7,17,2,4,9,11,0,8,1,1,1,1,1,18.5,6.0
conlemi01,Mike Conley,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2349,6,15,0,6,4,5,0,5,11,3,0,1,1,18.3,-10.0
vasqugr01,Greivis Vásquez,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,1753,5,11,3,5,5,5,0,4,8,0,0,1,4,16.5,8.0
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,2642,7,18,3,7,5,6,1,6,8,2,0,5,3,15.7,-12.0
willide01,Deron Williams,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,2328,8,20,2,6,6,6,0,1,3,1,0,1,2,14.8,20.0
leeda02,David Lee,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,2134,8,13,0,0,4,4,3,10,3,1,0,6,4,14.7,3.0
westbru01,Russell Westbrook,OKLAHOMA CITY THUNDER,HOME,MEMPHIS GRIZZLIES,WIN,1950,8,19,0,5,7,7,1,9,5,0,0,5,1,14.4,6.0
randoza01,Zach Randolph,MEMPHIS GRIZZLIES,AWAY,OKLAHOMA CITY THUNDER,LOSS,2325,7,21,0,0,7,12,8,3,3,0,1,1,5,13.4,-2.0
valanjo01,Jonas Valančiūnas,TORONTO RAPTORS,HOME,BROOKLYN NETS,LOSS,2100,7,13,0,0,3,4,5,13,2,0,2,6,3,13.3,-17.0
piercpa01,Paul Pierce,BROOKLYN NETS,AWAY,TORONTO RAPTORS,WIN,2132,6,13,2,5,1,1,0,4,4,1,1,1,2,12.2,20.0
hillge01,George Hill,INDIANA PACERS,HOME,ATLANTA HAWKS,LOSS,2090,5,8,0,2,2,3,0,3,4,1,0,0,2,11.9,-11.0
thompkl01,Klay Thompson,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES CLIPPERS,WIN,2467,7,20,4,7,4,6,2,5,5,0,1,4,4,11.5,4.0
davisgl01,Glen Davis,LOS ANGELES CLIPPERS,HOME,GOLDEN STATE WARRIORS,LOSS,1290,3,4,0,0,0,0,1,5,3,3,0,0,1,11.3,-4.0
